trial	target_ele	response_ele
48	-37.5	1.7
55	37.5	21.8
64	37.5	32.51
70	12.5	4.61
78	-37.5	-18.35
98	-37.5	-16.44
108	37.5	34.03
127	12.5	20.83
140	12.5	3.34
166	37.5	39.46
181	-37.5	-16.73
217	-37.5	-19.26
232	-37.5	-20.03
238	12.5	-0.61
245	12.5	-0.81
269	-12.5	-20.68
305	-37.5	20.26
318	-12.5	-21.78
332	-12.5	0.04
350	37.5	32.51
364	-37.5	-22.78
376	-12.5	-18.77
382	-12.5	-22.56
452	-37.5	-20.05
460	-37.5	-29.08
484	37.5	18.11
497	37.5	30.83
511	-12.5	-19.24
518	-12.5	8.9
541	-12.5	21.0
566	12.5	19.26
593	12.5	11.74
636	-12.5	15.91
651	-12.5	0.32
658	37.5	29.68
674	-12.5	24.9
692	37.5	25.3
701	37.5	21.09
715	37.5	15.96
725	-37.5	-22.46
783	37.5	12.63
809	-37.5	17.79
820	37.5	19.12
855	-37.5	-31.1
861	-12.5	-18.43
877	37.5	22.6
883	-12.5	-15.58
889	37.5	20.19
918	37.5	32.89
923	12.5	1.36
944	37.5	42.96
954	-12.5	-27.31
977	37.5	37.18
991	37.5	18.84
1002	-12.5	18.74
1023	-12.5	-19.49
1047	12.5	20.09
1065	12.5	35.92
1092	-12.5	18.83
1137	37.5	35.3
1179	12.5	-17.89
1197	12.5	22.84
1208	37.5	27.69
1223	37.5	-31.65
1238	-37.5	-25.35
1250	12.5	22.24
1264	-12.5	21.8
1274	-12.5	23.61
1291	-37.5	-28.26
1318	37.5	18.81
1341	-37.5	-33.94
1362	-37.5	-19.05
