target_ele	response_ele
0	4.26
50	42.31
-25	-48.01
25	19.76
-50	-51.74
0	1.51
-50	-55.96
25	46.65
50	42.75
-25	-13.64
-50	-47.61
-25	-2.02
25	17.99
0	8.35
50	48.9
