trial	hit
18	1
31	1
40	0
56	0
79	0
89	0
96	0
111	1
126	0
157	0
203	1
222	1
234	0
268	1
301	1
334	1
364	1
429	0
436	0
445	1
454	1
463	1
484	1
501	1
540	1
607	0
631	1
637	1
662	1
672	0
687	1
697	0
704	0
722	0
740	1
752	1
768	0
826	1
843	1
863	1
881	1
900	0
911	1
943	1
958	0
971	0
985	1
992	1
1013	1
1025	1
1041	1
1056	0
1065	0
1071	0
1094	1
1110	1
1122	1
1146	1
1205	1
1214	0
1226	0
1274	1
1315	0
1324	1
1383	1
1390	1
1400	0
1435	1
1444	1
1455	1
1468	0
1493	1
1538	1
1558	1
1583	0
1605	0
1622	1
1642	1
1681	1
1696	1
1704	0
1728	1
1751	1
1791	1
1806	1
1815	1
1852	1
1859	0
1874	0
1892	0
1898	1
1920	1
1955	1
1962	0
1976	1
1998	0
