trial	target_ele	response_ele
49	37.5	-1.36
82	-12.5	-13.71
97	-37.5	-0.69
107	-37.5	-13.58
113	12.5	-14.03
118	12.5	-13.79
138	12.5	11.83
150	12.5	11.87
196	12.5	-2.09
206	-12.5	-0.59
222	-37.5	-15.39
227	37.5	11.79
237	37.5	12.42
260	-12.5	-0.23
270	37.5	13.15
308	37.5	12.72
315	-37.5	-0.32
321	-37.5	-15.2
336	-37.5	-13.93
352	-37.5	-13.21
366	12.5	1.65
378	-37.5	-14.03
447	12.5	12.94
453	-37.5	1.05
470	-37.5	-1.06
487	-12.5	-0.77
551	37.5	10.93
566	-12.5	-16.31
580	37.5	-1.14
588	-12.5	-1.0
594	37.5	-16.41
599	-37.5	-24.55
643	-37.5	-15.54
650	37.5	12.09
656	-37.5	-0.24
671	-37.5	0.91
693	12.5	-16.3
700	-12.5	-16.43
713	-12.5	-0.66
762	-37.5	-14.56
776	-12.5	0.48
788	37.5	13.71
802	12.5	12.66
822	37.5	13.57
856	-12.5	-0.23
874	12.5	14.06
900	12.5	0.84
908	37.5	-14.21
937	-37.5	-0.07
952	-37.5	-26.58
964	12.5	-0.47
996	37.5	12.04
1007	-12.5	-0.04
1048	12.5	-15.09
1054	-12.5	13.95
1062	-12.5	-0.09
1069	-37.5	-15.19
1102	37.5	13.99
1129	-37.5	-14.6
1136	-12.5	-14.85
1184	-37.5	-16.32
1212	-12.5	-0.03
1244	-12.5	-15.78
1256	12.5	-0.09
1266	12.5	-0.1
1272	-12.5	12.68
1291	37.5	15.49
1296	37.5	11.33
1314	-37.5	-14.89
1340	12.5	14.04
1346	37.5	-14.04
1353	-12.5	-0.1
