trial	target_ele	response_ele
4	-37.5	-52.05
36	37.5	10.18
41	12.5	-2.67
52	37.5	8.95
71	12.5	-1.47
82	-12.5	-13.61
87	-12.5	-26.02
122	12.5	-13.94
145	-12.5	-24.76
165	37.5	0.76
210	12.5	-12.57
224	37.5	-1.21
234	37.5	-3.53
265	-12.5	-14.26
296	37.5	9.38
322	-37.5	-27.83
334	12.5	-12.65
345	-37.5	-24.32
358	-37.5	-34.3
389	-12.5	-24.75
418	12.5	-1.04
426	37.5	9.16
435	12.5	-0.13
448	12.5	-1.87
460	37.5	9.04
481	-12.5	-26.87
491	-12.5	-24.96
513	12.5	-25.16
554	-12.5	-23.52
597	12.5	-1.29
604	12.5	-24.65
632	-37.5	-40.6
647	-12.5	-24.39
656	-37.5	-23.97
674	-12.5	-24.92
680	-37.5	-27.11
712	-37.5	-38.33
720	-37.5	-37.14
729	-37.5	-33.29
752	-12.5	-34.48
798	-37.5	-34.9
816	-12.5	-22.62
826	37.5	9.77
846	37.5	11.04
853	-37.5	-35.57
858	-37.5	-34.74
870	37.5	7.95
893	37.5	8.5
919	-12.5	-40.77
928	12.5	-26.88
935	-12.5	-22.9
950	-12.5	-23.35
993	-37.5	-23.79
1001	37.5	-2.1
1006	-37.5	-34.57
1050	-37.5	-34.57
1059	12.5	-23.96
1076	-37.5	-33.67
1096	-37.5	-35.39
1116	-12.5	-23.65
1154	-37.5	-29.32
1163	37.5	11.19
1176	-37.5	-38.13
1215	12.5	-23.69
1226	-37.5	-35.49
1243	37.5	7.58
1250	-37.5	-34.27
1271	-12.5	-26.38
1278	37.5	10.36
1310	-12.5	-23.71
1354	37.5	10.34
1360	37.5	8.01
