trial	target_ele	response_ele
7	12.5	-23.7
24	-12.5	-12.4
42	12.5	7.9
70	-37.5	-18.2
84	-37.5	16.6
107	-37.5	-22.3
122	12.5	9.3
149	12.5	28.2
171	12.5	-27.9
182	-12.5	-47.9
203	-12.5	23.7
225	12.5	-0.6
5	37.5	-45.6
28	37.5	-23.1
42	37.5	5.4
68	12.5	29.5
84	-12.5	-35.4
103	-37.5	20.2
130	12.5	38.7
146	-12.5	-35.6
166	-37.5	-12.0
184	37.5	-30.5
207	37.5	-1.6
224	12.5	-35.8
5	12.5	-18.7
30	-12.5	-35.9
51	12.5	8.9
72	12.5	9.7
88	-12.5	24.7
102	37.5	-17.2
126	37.5	32.0
143	-12.5	-46.7
165	-12.5	-39.3
183	-12.5	24.6
208	12.5	21.5
231	37.5	-29.1
5	-37.5	23.6
22	37.5	-34.6
44	37.5	-6.9
64	12.5	-9.3
86	-37.5	22.3
103	-12.5	-48.2
123	-37.5	41.7
144	37.5	-28.6
172	12.5	18.4
188	-37.5	22.1
202	-12.5	-31.4
225	-12.5	12.7
3	37.5	-30.6
29	12.5	-15.0
44	12.5	-12.9
65	12.5	11.5
90	12.5	-32.2
102	-12.5	28.6
130	37.5	-31.8
152	-37.5	33.4
166	12.5	13.9
190	-12.5	12.4
208	-37.5	9.6
224	-12.5	-33.1
11	37.5	12.5
28	37.5	-14.3
43	-12.5	-14.4
66	12.5	19.7
88	37.5	-28.0
105	-37.5	32.9
122	-37.5	18.3
148	-37.5	-8.4
171	37.5	-27.4
185	37.5	-14.8
208	12.5	10.9
224	-12.5	-15.2
