trial	hit
7	1
41	1
53	1
69	1
85	1
97	1
103	1
146	1
196	1
204	1
253	1
260	0
284	0
296	0
314	0
324	1
344	1
375	1
386	1
423	0
444	0
458	1
465	0
481	1
541	0
573	0
588	1
596	1
606	0
636	1
664	1
703	0
714	0
731	0
738	0
758	0
777	0
795	1
805	0
815	0
827	1
902	1
937	0
959	1
972	0
981	1
987	1
995	0
1025	0
1118	1
1138	0
1183	0
1192	1
1203	1
1237	0
1251	1
1261	1
1268	1
1288	1
1295	0
1334	0
1340	0
1364	0
1391	0
1399	0
1406	0
1412	0
1473	1
1479	1
1487	0
1494	0
1503	0
1565	0
1577	1
1601	0
1608	0
1635	0
1645	0
1652	0
1686	0
1711	0
1759	0
1765	0
1808	1
1821	0
1832	0
1842	0
1852	0
1888	0
1896	1
1903	1
1941	1
1947	0
1968	0
1977	0
2007	0
