trial	hit
11	1
24	1
39	0
75	1
91	1
99	1
105	1
135	0
165	1
179	1
199	1
224	0
258	1
291	1
297	0
310	0
343	1
355	0
416	1
422	0
440	0
449	0
472	0
495	0
525	0
536	1
564	1
576	1
591	1
610	0
621	0
630	0
649	0
662	1
670	0
677	1
686	0
693	0
715	1
789	0
809	1
838	1
874	0
885	1
948	1
965	1
982	1
990	0
1023	1
1029	1
1039	1
1050	1
1075	0
1090	1
1122	1
1141	0
1163	0
1185	1
1192	0
1223	1
1257	1
1265	1
1304	1
1319	1
1333	1
1339	0
1345	0
1372	0
1413	1
1458	1
1478	1
1488	1
1522	1
1544	0
1559	0
1565	0
1604	0
1615	0
1626	1
1635	0
1653	0
1660	0
1686	0
1705	1
1738	1
1777	1
1801	1
1822	0
1865	0
1878	0
1891	0
1897	0
1922	0
1962	0
1988	1
1999	0
