trial	hit
25	0
42	1
69	1
90	1
97	1
108	1
120	1
146	1
168	1
217	1
241	1
257	1
265	1
302	1
313	1
319	1
350	1
369	1
384	1
391	1
408	1
441	1
460	0
491	1
520	0
533	1
553	1
559	1
574	1
580	1
603	1
622	1
652	1
662	0
695	1
708	1
721	0
733	0
774	0
812	1
832	1
861	1
874	1
883	0
918	1
942	1
949	1
971	1
1014	0
1020	0
1045	1
1053	0
1066	1
1090	1
1096	1
1108	1
1137	1
1158	1
1177	1
1211	1
1229	0
1240	1
1264	1
1325	1
1351	1
1385	0
1397	1
1415	1
1438	1
1453	1
1464	1
1503	1
1518	1
1546	0
1578	1
1584	1
1614	1
1623	0
1649	1
1675	0
1690	1
1715	1
1765	1
1773	1
1783	0
1799	1
1831	1
1847	1
1857	1
1877	1
1884	1
1891	1
1907	1
1920	1
1956	1
1969	0
